序号,代码,名称,市场代码简称,最新价(元) 2026.04.03,涨跌幅(%) 2026.04.03,概念,东财行业总分类,涨跌额(元) 2026.04.03,最高价(元) 2026.04.03,最低价(元) 2026.04.03,换手率(%) 2026.04.03,量比 2026.04.03,成交量(股) 2026.04.03,成交额(元) 2026.04.03,市盈率(动)(倍) 2026.04.03,市净率(倍) 2026.04.03,总市值(元) 2026.04.03,流通市值(元) 2026.04.03,CHOICE_INNER_CODE,IN_OPTIONAL,CHG<70>{2026-04-03}
1,920225,利通科技,BJ,24.27,3.28,军工、专精特新、融资融券、海工装备、液冷概念、食品安全、贬值受益、页岩气、数据中心、电商概念、核能核电、油气资源、中俄贸易概念、高端装备、油气设服、白酒、地下管网,基础化工-橡胶-其他橡胶制品,0.770,25.37,23.27,4.97,1.15,411.76万,9970.11万,37.01,4.2111,30.80亿,20.09亿,1000414152,False,3.28
2,600771,广誉远,SH,17.60,1.85,融资融券、特色药、沪股通、小盘股、医药电商、中药概念、央国企改革、阿兹海默、新零售、独家药品、白酒、创新药、互联医疗,医药生物-中药Ⅱ-中药Ⅲ,0.320,17.75,17.22,2.18,1.51,1069.13万,1.87亿,81.91,5.2254,86.15亿,86.15亿,1000002085,False,1.85
